Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590504478,0.997133255,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590504479,2.005803823,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590504480,3.003130674,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590504481,3.999029636,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590504482,4.9999125,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590504483,6.004136801,20,0,0,0,0,0,0,26.83,0,0,1,1,0,0,4.2,2.84,536.2,6.51888,0.00112641
1590504484,6.998933554,20,0,0,0,0,0,0,26.85,0,0,1,1,0,0,4.4,2.86,528,6.42312,0.00287939
1590504485,8.00105691,20,0,0,0,0,0,0,26.73,0,0,1,1,0,0,4.8,2.75,500.6,6.0978,0.004716975
1590504486,8.999275208,20,0,0,0,0,0,0,26.78,0,0,1,1,0,0,5.2,2.86,503.6,6.74208,0.006426064
1590504487,10.01107168,20,0,0,0,0,0,0,26.78,0,0,1,1,0,0,4.8,2.76,549.6,6.723,0.008235101
1590504488,11.01181412,80,0,0,0,0,0,0,26.8,0,0,1,1,0,0,4.4,2.72,505.8,6.15504,0.009927739
1590504489,11.99951148,80,1,0,0,0,0,0,26.84,0,0,1,1,0,0,6351,2.91,504.6,83.11944,0.018931276
1590504490,12.99911547,80,1,0,0,0,0,0,26.79,0,0,1,1,0,0,6384.8,2.72,548.6,83.23344,0.043111798
1590504491,13.99808717,80,1,0,0,0,0,0,26.74,0,0,1,1,0,0,6398.8,2.75,535.4,83.48712,0.063741266
1590504492,14.99923944,80,1,0,0,0,0,0,26.84,0,0,1,1,0,0,6400,2.72,576.8,83.75424,0.087308789
1590504493,15.99876332,80,1,0,0,0,0,0,26.78,0,0,1,1,0,0,6400,2.72,585.8,83.86224,0.109060334
1590504494,17.00506258,80,1,0,0,0,0,0,26.78,0,0,1,1,0,0,6400,2.8,507.2,82.92,0.133363433
1590504495,18.00295162,80,1,0,0,0,0,0,26.89,0,0,1,1,0,0,6400,2.66,566.2,83.62632,0.15695418
1590504496,19.00417018,80,1,0,0,0,0,0,26.9,0,0,1,1,0,0,6400,2.78,516.2,83.02776,0.180542901
1590504497,20.00368619,80,1,0,0,0,0,0,26.99,0,0,1,1,0,0,6400,2.84,504.2,82.88448,0.201150338
1590504498,21.00770712,80,1,0,0,0,0,0,27.08,0,0,1,1,0,0,6400,2.71,500.4,82.83732,0.224802049
1590504499,22.00094652,80,1,0,0,0,0,0,27.14,0,0,1,1,0,0,6400,2.7,506.6,83.061,0.246868937
1590504500,22.999753,80,1,0,0,0,0,0,27.27,0,0,1,1,0,0,6396.8,2.91,526.4,83.11332,0.270179484
1590504501,23.99751806,80,1,0,0,0,0,0,27.48,0,0,1,1,0,0,6391.2,2.74,510.6,82.85448,0.293781614
1590504502,25.00625157,80,1,0,0,0,0,0,27.7,0,0,1,1,0,0,6396.4,2.87,518.4,83.01204,0.317333546
1590504503,25.99827671,80,1,0,0,0,0,0,27.87,0,0,1,1,0,0,6392,2.72,502.6,82.74444,0.33934612
1590504504,26.99809098,80,1,0,0,0,0,0,28.03,0,0,1,1,0,0,6393.2,2.82,579.8,83.70984,0.362904059
1590504505,28.00683951,80,1,0,0,0,0,0,28.37,0,0,1,1,0,0,6393.4,2.72,497.8,82.72704,0.386446712
1590504506,29.00475812,80,1,0,0,0,0,0,28.7,0,0,1,1,0,0,6398.8,-247.67,521.4,83.36544,0.408244884
1590504507,30.00519991,80,1,0,0,0,0,0,28.96,0,0,1,1,0,0,6396.2,2.66,558.6,83.48952,0.432501018
1590504508,30.99829149,80,1,0,0,0,0,0,29.24,0,0,1,1,0,0,6396.4,2.78,542.2,83.29656,0.454854906
1590504509,31.99874568,80,1,0,0,0,0,0,29.65,0,0,1,1,0,0,6398.2,2.85,527,83.1366,0.478432262
1590504510,32.99896479,80,1,0,0,0,0,0,30.03,0,0,1,1,0,0,6398.8,2.86,560.2,83.54232,0.501510007
1590504511,33.99814701,80,1,0,0,0,0,0,30.53,0,0,1,1,0,0,6399,2.66,548.4,83.73672,0.523614162
1590504512,35.00244856,80,1,0,0,0,0,0,30.81,0,0,1,1,0,0,6398.8,2.82,551.6,83.43864,0.547093188
1590504513,36.00295758,80,1,0,0,0,0,0,31.27,0,0,1,1,0,0,6425.6,2.95,554.4,83.7954,0.570729112
1590504514,37.00870562,80,1,0,0,0,0,0,31.71,0,0,1,1,0,0,6400,34.04,562,83.95248,0.594365977
1590504515,38.00295711,80,1,0,0,0,0,0,32.2,0,0,1,1,0,0,6400,2.8,569,83.6616,0.615192208
1590504516,39.00254822,80,1,0,0,0,0,0,32.7,0,0,1,1,0,0,6400,2.74,512.8,82.98648,0.638792827
1590504517,40.00702381,80,1,0,0,0,0,0,33.19,0,0,1,1,0,0,6400,2.69,546.8,83.39388,0.661757257
1590504518,41.00513935,80,1,0,0,0,0,0,33.81,0,0,1,1,0,0,6400,2.58,517.8,83.04456,0.684453263
1590504519,42.00419235,80,1,0,0,0,0,0,34.2,0,0,1,1,0,0,6400,2.78,545.8,82.91784,0.70478905
1590504520,43.00647545,80,1,0,0,0,0,0,34.8,0,0,1,1,0,0,6400,2.69,521.2,83.56824,0.728441756
1590504521,44.00454378,80,1,0,0,0,0,0,35.3,0,0,1,1,0,0,6400,2.78,524.6,83.12856,0.752006062
1590504522,45.01247835,80,1,0,0,0,0,0,35.91,0,0,1,1,0,0,6400,2.72,522,82.89,0.774677002
1590504523,46.01117992,80,1,0,0,0,0,0,36.41,0,0,1,1,0,0,6400,2.78,531.4,83.21016,0.798263651
1590504524,47.01007056,80,1,0,0,0,0,0,36.92,0,0,1,1,0,0,6400,2.75,502.2,82.88268,0.819295911
1590504525,48.00813842,80,1,0,0,0,0,0,37.48,0,0,1,1,0,0,6400,2.63,534.8,83.24916,0.842922861
1590504526,49.00640631,80,1,0,0,0,0,0,38.01,0,0,1,1,0,0,6400,2.56,509.8,82.94832,0.866190412
1590504527,49.99993157,80,1,0,0,0,0,0,38.67,0,0,1,1,0,0,6400,2.73,533.4,83.23356,0.889794161
1590504528,51.00182152,80,1,0,0,0,0,0,39.15,0,0,1,1,0,0,6400,2.68,510,82.95216,0.912316161
1590504529,52.00409961,80,1,0,0,0,0,0,39.74,0,0,1,1,0,0,6400,2.69,577.8,83.76588,0.935933989
1590504530,53.0057466,80,1,0,0,0,0,0,40.34,0,0,1,1,0,0,6400,2.65,507.4,82.80012,0.958016697
1590504531,54.00514817,80,1,0,0,0,0,0,40.86,0,0,1,1,0,0,6400,2.67,552.8,83.46564,0.981626299
1590504532,55.00393105,80,1,0,0,0,0,0,41.56,0,0,1,1,0,0,6400,2.93,559,83.54316,1.004900588
1590504533,56.00414181,80,1,0,0,0,0,0,42.09,0,0,1,1,0,0,6400,2.5,549.8,83.4276,1.02844415
1590504534,57.00299573,80,1,0,0,0,0,0,42.64,0,0,1,1,0,0,6400,2.75,557.8,83.5266,1.050543073
1590504535,58.0021193,80,1,0,0,0,0,0,43.24,0,0,1,1,0,0,6400,2.62,534.8,83.24904,1.074205231
1590504536,59.00813842,80,1,0,0,0,0,0,43.73,0,0,1,1,0,0,6400,2.72,554.4,83.48544,1.097849128
1590504537,60.00636721,80,1,0,0,0,0,0,44.38,0,0,1,1,0,0,6400,2.56,508,82.92672,1.119921293
1590504538,61.00414181,80,1,0,0,0,0,0,44.98,0,0,1,1,0,0,6400,2.58,507.2,82.91736,1.143698605
1590504539,62.00612974,80,1,0,0,0,0,0,45.52,0,0,1,1,0,0,6400,2.88,555.2,83.60004,1.165745774
1590504540,63.00611448,80,1,0,0,0,0,0,46.11,0,0,1,1,0,0,6400,2.68,575.4,83.73696,1.189393805
1590504541,64.00398469,80,1,0,0,0,0,0,46.67,0,0,1,1,0,0,6400,2.82,534.4,83.24664,1.212966295
1590504542,65.00209379,80,1,0,0,0,0,0,47.3,0,0,1,1,0,0,6400,2.72,507,83.05464,1.234991681
1590504543,66.00119781,80,1,0,0,0,0,0,47.79,0,0,1,1,0,0,6400,2.92,561,83.56704,1.258615108
1590504544,67.00012445,80,1,0,0,0,0,0,48.38,0,0,1,1,0,0,6400,2.68,505,82.89216,1.28189718
1590504545,68.00403047,80,1,0,0,0,0,0,48.95,0,0,1,1,0,0,6400,2.96,512.6,82.98672,1.305470965
1590504546,69.0026145,80,1,0,0,0,0,0,49.65,0,0,1,1,0,0,6400,2.75,525.4,83.60232,1.32747268
1590504547,70.00581098,80,1,0,0,0,0,0,50,0,0,1,1,0,0,6400,2.75,528,83.169,1.351058789
1590504548,71.00612545,80,1,0,0,0,0,0,50.63,0,0,1,1,0,0,6400,2.67,560.8,83.56164,1.374693191
1590504549,72.00510097,80,1,0,0,0,0,0,51.25,0,0,1,1,0,0,6400,2.72,501.6,83.36556,1.39704248
1590504550,72.99960685,80,1,0,0,0,0,0,51.72,0,0,1,1,0,0,6400,2.81,517.4,83.04252,1.420329024
1590504551,74.00082064,80,1,0,0,0,0,0,52.31,0,0,1,1,0,0,6400,2.78,511,82.96536,1.443912061
1590504552,75.00114632,80,1,0,0,0,0,0,52.84,0,0,1,1,0,0,6400,2.74,522.4,83.47164,1.465977268
1590504553,76.00120234,80,1,0,0,0,0,0,53.39,0,0,1,1,0,0,6400,2.75,511.8,82.9746,1.489544475
1590504554,77.00221133,80,1,0,0,0,0,0,53.9,0,0,1,1,0,0,6400,2.75,549,83.421,1.512748818
1590504555,78.0052259,80,1,0,0,0,0,0,54.42,0,0,1,1,0,0,6400,2.97,519.4,82.98576,1.534827465
1590504556,79.00621796,80,1,0,0,0,0,0,55.04,0,0,1,1,0,0,6400,2.9,565.4,83.6196,1.558881159
1590504557,80.00416207,80,1,0,0,0,0,0,55.52,0,0,1,1,0,0,6400,2.65,497,82.7958,1.58216384
1590504558,81.00415301,80,1,0,0,0,0,0,56.06,0,0,1,1,0,0,6400,2.67,515.6,83.07528,1.60469124
1590504559,82.00402093,80,1,0,0,0,0,0,56.56,0,0,1,1,0,0,6400,2.62,519.6,83.06664,1.628292473
1590504560,83.00177598,80,1,0,0,0,0,0,57.09,0,0,1,1,0,0,6400,2.71,539.6,83.30772,1.651941755
1590504561,84.00029278,80,1,0,0,0,0,0,57.77,0,0,1,1,0,0,6400,2.72,534.6,82.91796,1.672683095
1590504562,85.00286794,80,1,0,0,0,0,0,58.15,0,0,1,1,0,0,6400,2.78,522.2,83.09976,1.696915938
1590504563,86.00820971,80,1,0,0,0,0,0,58.7,0,0,1,1,0,0,6400,2.65,547.6,83.56548,1.7186663
1590504564,87.00411892,80,1,0,0,0,0,0,59.2,0,0,1,1,0,0,6400,2.72,510.8,82.96224,1.74223626
1590504565,88.00316763,80,1,0,0,0,0,0,59.71,0,0,1,1,0,0,6400,2.71,559.8,83.55012,1.765830441
1590504566,89.0012393,80,1,0,0,0,0,0,60.2,0,0,1,1,0,0,6400,2.92,507.8,83.34792,1.787953956
1590504567,89.99902034,80,1,0,0,0,0,0,60.78,0,0,1,1,0,0,6400,2.66,544.6,83.36712,1.811557567
1590504568,90.99817085,80,1,0,0,0,0,0,61.28,0,0,1,1,0,0,6400,2.71,510,82.95252,1.832585298
1590504569,92.00493813,80,1,0,0,0,0,0,61.81,0,0,1,1,0,0,6400,2.9,531.4,83.56968,1.854378462
1590504570,93.00512147,80,1,0,0,0,0,0,62.36,0,0,1,1,0,0,6400,2.55,508,83.07744,1.877971586
1590504571,94.00412536,80,0.998,0,0,0,0,0,62.76,0,0,1,1,0,0,6400,2.73,502.2,82.85916,1.902219434
1590504572,95.00175834,80,0.9752,0,0,0,0,0,63.24,0,0,1,1,0,0,6400,2.68,544,83.36016,1.924499912
1590504573,96.00129151,80,0.9536,0,0,0,0,0,63.75,0,0,1,1,0,0,6245,2.72,572.8,81.84624,1.947914659
1590504574,97.00671792,80,0.932,0,0,0,0,0,64.28,0,0,1,1,0,0,6095.6,2.95,507.4,80.00196,1.969668159
1590504575,98.0076158,80,0.912,0,0,0,0,0,64.73,0,0,1,1,0,0,5953.4,2.96,537.4,77.92512,1.992014364
1590504576,99.00713491,80,0.8896,0,0,0,0,0,65.26,0,0,1,1,0,0,5929.8,2.76,511.4,77.32752,2.013759523
1590504577,100.0061581,80,0.8764,0,0,0,0,0,65.8,0,0,1,1,0,0,5793.2,3.02,580.8,75.645,2.033864857
1590504578,101.0051541,80,0.8572,0,0,0,0,0,66.2,0,0,1,1,0,0,5679.4,3.07,500.4,74.19444,2.054924529
1590504579,102.0094726,80,0.8384,0,0,0,0,0,66.69,0,0,1,1,0,0,5562.4,2.4,524.8,73.0752,2.075510914
1590504580,103.0082059,80,0.8172,0,0,0,0,0,67.12,0,0,1,1,0,0,5366,2.61,576.6,71.34252,2.095211463
1590504581,104.009629,80,0.7984,0,0,0,0,0,67.65,0,0,1,1,0,0,5186.8,3.07,506.8,68.36004,2.115073355
1590504582,105.0101995,80,0.7736,0,0,0,0,0,68.19,0,0,1,1,0,0,5036.6,2.82,516.6,67.93356,2.133030067
1590504583,106.0061843,80,0.7676,0,0,0,0,0,68.61,0,0,1,1,0,0,4989.2,2.41,510.8,66.39528,2.151601267
1590504584,107.0031149,80,0.7468,0,0,0,0,0,68.99,0,0,1,1,0,0,4914.2,3.11,559.4,65.72052,2.170534114
1590504585,108.0012956,80,0.7284,0,0,0,0,0,69.47,0,0,1,1,0,0,4905.6,2.94,502.6,64.93368,2.188348162
1590504586,109.000854,80,0.7092,0,0,0,0,0,69.82,0,0,1,1,0,0,4633.6,2.98,554.6,62.29416,2.20523676
1590504587,109.9981482,80,0.6908,0,0,0,0,0,70.24,0,0,1,1,0,0,4663.6,2.32,517.4,62.19984,2.222292649
