Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1586728145,0.498339891,20,0,0,0,0,0,0,89.99,0,0,1,1,0,0,5.4,2.57,512.4,6.10656,0.000763149
1586728145,0.997329473,20,0,0,0,0,0,0,90.06,0,0,1,1,0,0,4.4,2.64,510.6,6.42216,0.001634004
1586728146,1.493917465,20,0,0,0,0,0,0,90.09,0,0,1,1,0,0,4.8,2.8,529.2,6.4416,0.002502392
1586728146,1.995294571,20,0,0,0,0,0,0,90.07,0,0,1,1,0,0,4.4,2.73,519.4,6.31836,0.00339469
1586728147,2.48999548,20,0,0,0,0,0,0,90.06,0,0,1,1,0,0,4.8,2.45,518.8,6.3126,0.004255752
1586728147,2.990115881,20,0,0,0,0,0,0,89.99,0,0,1,1,0,0,5.2,2.62,502.4,6.12264,0.005123656
1586728148,3.502144575,20,0,0,0,0,0,0,90.04,0,0,1,1,0,0,3.8,2.51,505.6,6.14292,0.006003511
1586728148,3.991054296,90,0,0,0,0,0,0,90.02,0,0,1,1,0,0,4.6,2.39,495.2,6.02628,0.006866345
1586728149,4.490172386,90,0,0,0,0,0,0,90.07,0,0,1,1,0,0,4.4,2.87,512.8,6.054,0.007635752
1586728149,5.004997969,90,0,0,0,0,0,0,90.03,0,0,1,1,0,0,3.8,2.58,514.4,6.24936,0.008621394
1586728150,5.490107298,90,0,0,0,0,0,0,90.04,0,0,1,1,0,0,4.6,2.58,501,6.51336,0.009381257
1586728150,5.992075682,90,0,0,0,0,0,0,90.04,0,0,1,1,0,0,4.8,2.82,522,6.35544,0.010276216
1586728151,6.492186069,90,0,0,0,0,0,0,90.06,0,0,1,1,0,0,4.4,2.43,532.2,6.46836,0.01117431
1586728151,7.002155542,90,0,0,0,0,0,0,90.05,0,0,1,1,0,0,4,2.75,502.2,6.1074,0.012069279
1586728152,7.491223097,90,0,0,0,0,0,0,90.04,0,0,1,1,0,0,4.8,2.59,553.2,6.72708,0.012842091
1586728152,7.989984989,90,0,0,0,0,0,0,90.07,0,0,1,1,0,0,5.2,2.4,536.2,6.5256,0.013737112
1586728153,8.504619122,90,0,0,0,0,0,0,90.05,0,0,1,1,0,0,5.2,3.09,508.8,6.20508,0.014634145
1586728153,8.991876602,90,0,0,0,0,0,0,90.03,0,0,1,1,0,0,3.8,2.59,509,6.28452,0.015434272
1586728154,9.494193316,90,0,0.0005,0,0,0,0,89.99,0.0005,0,1,1,0,0,4.4,2.47,518.2,6.30084,0.016355944
1586728154,9.995100498,90,0.000402705,0.0005,0,0,0,0,89.93,0.0005,0,1,1,0,0,4.8,2.71,512.2,6.23652,0.017261712
1586728155,10.49694777,90,0.000807904,0.0005,0,0,0,0,89.92,0.0005,0,1,1,0,0,4.8,3.15,496.6,6.23784,0.018046977
1586728155,10.99695039,90,0.002826028,0.0005,0,0,0,0,89.92,0.0005,0,1,1,0,0,6.8,2.8,544.4,6.648,0.01897091
1586728156,11.49301004,90,0.002038994,0.0005,0,0,0,0,89.89,0.0005,0,1,1,0,0,7.2,2.82,508,6.21624,0.019892467
1586728156,11.99309874,90,0.001649379,0.0005,0,0,0,0,89.95,0.0005,0,1,1,0,0,4.6,2.68,532.8,6.17148,0.020677371
1586728157,12.49006987,90,0.004075292,0.0005,0.25,0,0,0,89.89,0.0005,0,1,1,0,0,14.4,2.43,503.2,6.24036,0.021608655
1586728157,12.99736714,90,0.008530437,0.0005,0.25,0,0,0,89.8,0.0005,0,1,1,0,0,41.2,2.74,498.6,6.51048,0.022567741
1586728158,13.4988153,90,0.00858848,0.0005,0.25,0.076970375,0,0,89.84,0.0005,0.105319048,1,1,0,0,39.8,39.74,501.6,6.95952,0.023447944
1586728158,13.99929881,90,0.007033446,0.0005,0.25,0.1051559,0,0,89.74,0.0005,0.146530952,1,1,0,0,33,38.92,499,6.85104,0.024454914
1586728159,14.49704194,90,0.010297518,0.0005,0.25,0.115862631,0,0,89.74,0.0005,0.178578571,1,1,0.309,0.004573074,55,43.15,534.6,7.593,0.025521592
1586728159,14.99716878,90,0.011975183,0.0005,0.25,0.131170438,0,0,89.77,0.0005,0.196871429,1,1,0.311,0.011522564,71.2,42.53,506.8,7.44636,0.026451741
1586728160,15.49890208,90,0.014066264,0.0005,0.25,0.141182509,0,0,89.66,0.0005,0.21525119,1,1,0.311,0.019108695,86.8,45.76,514,7.75872,0.027533392
1586728160,15.99983048,90,0.014560057,0.0005,0.25,0.144051114,0,0,89.66,0.0005,0.228954762,1,1,0.313,0.025934008,78,46,465.8,7.6362,0.02853578
1586728161,16.50066066,90,0.014247265,0.0005,0.25,0.14881626,0,0,89.6,0.0005,0.233525,1,1,0.314,0.033682501,84.4,46.19,528.6,7.91028,0.029667132
1586728161,17.00104785,90,0.018365185,0.0005,0.25,0.150875683,0,0,89.57,0.0005,0.242646429,1,1,0.318,0.040999595,108.8,46.36,496.6,7.82112,0.030762778
1586728162,17.50129128,90,0.021304136,0.0005,0.25,0.15196651,0,0,89.49,0.0005,0.242720238,1,1,0.314,0.047579593,121.4,47.58,512,8.17176,0.031802703
1586728162,18.00139523,90,0.020234992,0.0005,0.25,0.154935321,0,0,89.52,0.0005,0.23815,1,1,0.311,0.055641109,130.4,47.5,485.6,7.962,0.033025797
1586728163,18.50254631,90,0.020234992,0.0005,0.25,0.156085843,0,0,89.42,0.0005,0.247271429,1,1,0.308,0.062469656,123.6,48.23,505.4,8.37612,0.034075662
1586728163,19.00302625,90,0.02438691,0.0005,0.25,0.155290136,0,0,89.36,0.0005,0.247261905,1,1,0.312,0.070566882,176.8,46.53,516.4,8.87676,0.035364691
