Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590159091,1.002048254,85,0.235487846,0.0005,0.25,0.148844575,0,0,85,0.0005,0.2564,1,1,0.301,1.383582928,1561.8,44.7,505.8,25.3476,0.49636363
1590159092,1.998612165,85,0.236271325,0.0005,0.25,0.148209054,0,0,85.03,0.0005,0.251811905,1,1,0.351,1.396305914,1647.2,43.74,526.6,24.33492,0.503054557
1590159093,2.998732328,85,0.233033626,0.0005,0.25,0.149476756,0,0,85.03,0.0005,0.24722381,1,1,0.421,1.405386129,1578.2,42.53,526,25.76076,0.510410746
1590159094,3.996878862,85,0.233800589,0.0005,0.25,0.150762185,0,0,85.06,0.0005,0.249316667,1,1,0.338,1.415525268,1637.8,45.55,510.4,26.325,0.517445569
1590159095,5.003751755,85,0.235797829,0.0005,0.25,0.149437325,0,0,85.01,0.0005,0.256420238,1,1,0.275,1.431268205,1601,43.46,517.6,25.94472,0.524638656
1590159096,6.003158808,85,0.234976313,0.0005,0.25,0.147568361,0,0,85.05,0.0005,0.251841667,1,1,0.27,1.450986994,1606.6,44.23,487.4,25.65876,0.531674695
1590159097,7.003658533,85,0.23617356,0.0005,0.25,0.15001643,0,0,84.98,0.0005,0.247261905,1,1,0.231,1.471096178,1533.6,46.36,493.4,26.55708,0.538315709
1590159098,8.004050493,85,0.234154487,0.0005,0.25,0.151263984,0,0,85.11,0.0005,0.251841667,1,1,0.179,1.509628866,1638.8,46.11,490.4,24.89664,0.545590217
1590159099,8.999994993,85,0.235740731,0.0005,0.25,0.14995565,0,0,85.06,0.0005,0.251841667,1,1,0.21,1.548159829,1647.6,44.15,494,26.229,0.552674425
1590159100,10.00203466,85,0.235319313,0.0005,0.25,0.147193633,0,0,85.02,0.0005,0.242683333,1,1,0.293,1.57087906,1548.6,45.04,500,25.12368,0.55970622
1590159101,11.00196767,85,0.233702769,0.0005,0.25,0.14977397,0,0,85.08,0.0005,0.247271429,1,1,0.238,1.588264825,1567,45.32,507.4,25.43664,0.566810103
1590159102,11.99585819,85,0.233270377,0.0005,0.25,0.14987899,0,0,85.06,0.0005,0.247261905,1,1,0.228,1.613120617,1545.8,45.2,512.2,25.11276,0.57348317
1590159103,13.00836587,85,0.229584787,0.0005,0.25,0.148948164,0,0,85.06,0.0005,0.251841667,1,1,0.267,1.639190483,1530.6,44.1,500.6,24.9036,0.581105599
1590159104,13.99800253,85,0.230714659,0.0005,0.25,0.148101557,0,0,85.05,0.0005,0.247261905,1,1,0.265,1.656730132,1581.6,45.08,533,26.3034,0.587759617
1590159105,14.99488974,85,0.23103744,0.0005,0.25,0.149856767,0,0,85.13,0.0005,0.242683333,1,1,0.273,1.67670376,1509,46.07,545.4,25.20564,0.594834059
1590159106,15.99430823,85,0.232588734,0.0005,0.25,0.149638671,0,0,85.08,0.0005,0.251841667,1,1,0.284,1.694667801,1441.2,45.39,529,24.18708,0.601842379
