Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1586740695,0.498779774,20,0,0,0,0,0,0,90.12,0,0,1,1,0.319,0,4,2.72,473.2,5.9712,0.000730383
1586740696,1.006050587,20,0,0,0,0,0,0,90.17,0,0,1,1,0,0,4.2,2.61,474.8,5.98224,0.001566555
1586740696,1.506705046,20,0,0,0,0,0,0,90.13,0,0,1,1,0,0,5.2,2.78,513,6.138,0.002393133
1586740697,2.005574226,20,0,0,0,0,0,0,90.17,0,0,1,1,0,0,5,2.68,469.4,5.72496,0.003246425
1586740697,2.499849081,20,0,0,0,0,0,0,90.16,0,0,1,1,0,0,4.6,2.62,482.8,5.88024,0.004090278
1586740698,3.000685215,20,0,0,0,0,0,0,90.15,0,0,1,1,0,0,4.4,2.61,484.4,5.89692,0.00491845
1586740698,3.511808872,20,0,0,0,0,0,0,90.09,0,0,1,1,0,0,4.6,2.68,483,5.88336,0.00575727
1586740699,4.013098001,20,0,0,0,0,0,0,90.19,0,0,1,1,0,0,3.4,2.56,492.6,5.98272,0.006605779
1586740699,4.525786877,90,0,0,0,0,0,0,90.17,0,0,1,1,0,0,5.4,2.58,477.4,5.82456,0.007448158
1586740700,5.019836903,90,0,0,0,0,0,0,90.16,0,0,1,1,0,0,4.4,2.8,508,6.1824,0.008300917
1586740700,5.520766735,90,0,0,0,0,0,0,90.13,0,0,1,1,0,0,4.2,2.7,487.6,6.18792,0.009036965
1586740701,6.015772104,90,0,0,0,0,0,0,90.1,0,0,1,1,0,0,5.6,2.63,475.2,5.80116,0.009909164
1586740701,6.516577005,90,0,0,0,0,0,0,90.12,0,0,1,1,0,0,4.8,2.67,477.8,5.82324,0.010761593
1586740702,7.017560005,90,0,0,0,0,0,0,90.09,0,0,1,1,0,0,5,2.62,471.6,5.75064,0.01162397
1586740702,7.523999691,90,0,0.0005,0,0,0,0,90.2,0.0005,0,1,1,0,0,4.6,2.6,470.8,5.736,0.012402969
1586740703,8.018832445,90,0,0.0005,0,0,0,0,90.12,0.0005,0,1,1,0,0,5,2.68,483.4,5.89296,0.013263308
1586740703,8.520776272,90,0,0.0005,0,0,0,0,90.13,0.0005,0,1,1,0,0,4.6,2.77,504.6,6.07344,0.014048926
1586740704,9.015588045,90,0,0.0005,0,0,0,0,90.12,0.0005,0,1,1,0,0,5.2,2.66,516.8,6.29592,0.014943491
1586740704,9.515075922,90,0,0.0005,0,0,0,0,90.12,0.0005,0,1,1,0,0,4.4,2.67,528.2,6.42324,0.015842359
1586740705,10.01504683,90,0,0.0005,0,0,0,0,90.1,0.0005,0,1,1,0,0,4.6,2.57,491.8,6.10668,0.016620566
1586740705,10.51512456,90,0,0.0005,0.25,0,0,0,90.07,0.0005,0,1,1,0,0,4.4,2.57,509,6.19164,0.017503634
1586740706,11.01533914,90,0,0.0005,0.25,0.06274488,0,0,90.01,0.0005,0.02747381,1,1,0,0,4.6,46.33,511.2,6.18804,0.018317807
1586740706,11.51680064,90,0,0.0005,0.25,0.092831038,0,0,90.07,0.0005,0.128215476,1,1,0,0,4.6,36.65,489.6,6.3702,0.019246341
1586740707,12.01740599,90,0.003622725,0.0005,0.25,0.104930548,0,0,89.98,0.0005,0.169420238,1,1,0,0,10.6,40.84,499.8,6.61488,0.020227457
1586740707,12.51470041,90,0,0.0005,0.25,0.122556098,0,0,90.01,0.0005,0.192322619,1,1,0.306,0.006978083,4.6,44.76,497.8,6.71064,0.021074502
1586740708,13.0156827,90,0,0.0005,0.25,0.134515144,0,0,89.95,0.0005,0.206052381,1,1,0.305,0.014674582,3.8,43.04,510.8,6.69168,0.022005062
1586740708,13.51664281,90,0.002822516,0.0005,0.25,0.137536764,0,0,89.93,0.0005,0.219797619,1,1,0.295,0.023069822,7.4,44.54,493.4,6.54408,0.022979602
1586740709,14.01706672,90,0.005255353,0.0005,0.25,0.142461634,0,0,89.9,0.0005,0.233534524,1,1,0.293,0.03069172,21,44.82,522.8,7.26816,0.02387347
1586740709,14.51843166,90,0.006498283,0.0005,0.25,0.147555434,0,0,89.81,0.0005,0.233507143,1,1,0.295,0.039325717,26.8,45.46,531.4,7.24392,0.024865316
1586740710,15.01889324,90,0.005735725,0.0005,0.25,0.147715943,0,0,89.89,0.0005,0.247271429,1,1,0.297,0.048123634,21.6,44.52,504.2,6.84384,0.025904065
1586740710,15.51975751,90,0.007786599,0.0005,0.25,0.149214757,0,0,89.79,0.0005,0.247271429,1,1,0.298,0.055446196,30.6,44.34,537,7.22472,0.02678525
1586740711,16.01993513,90,0.011056346,0.0005,0.25,0.151429558,0,0,89.73,0.0005,0.242692857,1,1,0.303,0.06340465,33.2,45.93,539.4,7.42236,0.027829951
1586740711,16.5216074,90,0.009920773,0.0005,0.25,0.152563108,0,0,89.76,0.0005,0.247261905,1,1,0.304,0.071530223,62.4,45.91,513.2,7.45812,0.028969096
1586740712,17.02189279,90,0.009920773,0.0005,0.25,0.151793103,0,0,89.71,0.0005,0.247271429,1,1,0.31,0.078550927,56.2,46.2,532.2,7.66272,0.029946277
1586740712,17.52285504,90,0.011998371,0.0005,0.25,0.153786155,0,0,89.65,0.0005,0.247261905,1,1,0.298,0.086488274,72.8,46.72,537.2,7.88064,0.031053475
1586740713,18.02380443,90,0.015297545,0.0005,0.25,0.153053622,0,0,89.62,0.0005,0.25185119,1,1,0.296,0.094918623,85.6,45.59,523,7.85028,0.032213679
1586740713,18.5249095,90,0.015795379,0.0005,0.25,0.152486977,0,0,89.62,0.0005,0.24717619,1,1,0.294,0.102621768,102.2,45.96,503,7.81392,0.033272144
1586740714,19.02572083,90,0.015897797,0.0005,0.25,0.153768854,0,0,89.52,0.0005,0.247271429,1,1,0.285,0.111439871,93.2,46.81,569.6,8.51532,0.034412095
1586740715,19.52621984,90,0.018818531,0.0005,0.25,0.153024732,0,0,89.45,0.0005,0.25185119,1,1,0.279,0.119962955,129.4,45.59,540.8,8.58948,0.035500714
1586740715,20.0270772,90,0.021760048,0.0005,0.25,0.153630878,0,0,89.37,0.0005,0.242692857,1,1,0.289,0.12942358,140.2,46.02,514.8,8.41224,0.036767298
1586740716,20.52807164,90,0.024311431,0.0005,0.25,0.154043756,0,0,89.41,0.0005,0.247271429,1,1,0.292,0.137057329,176.2,45.9,529.2,8.68464,0.037856157
1586740716,21.0287776,90,0.028898688,0.0005,0.25,0.153735201,0,0,89.3,0.0005,0.247261905,1,1,0.298,0.145673958,197,46.19,548.8,9.50388,0.039239034
1586740717,21.52992344,90,0.027073154,0.0005,0.25,0.155710701,0,0,89.3,0.0005,0.247271429,1,1,0.291,0.152992708,183.2,47.02,507.6,8.85384,0.04038366
1586740717,22.03084064,90,0.030871504,0.0005,0.25,0.154977521,0,0,89.24,0.0005,0.251870238,1,1,0.295,0.161881499,239.4,44.81,520.2,9.65292,0.041760674
1586740718,22.5318799,90,0.03468483,0.0005,0.25,0.154410321,0,0,89.16,0.0005,0.251811905,1,1,0.293,0.169617716,274.2,46.3,503.8,9.8916,0.043013121
1586740718,23.03205657,90,0.03933847,0.0005,0.25,0.154561055,0,0,89.15,0.0005,0.251811905,1,1,0.299,0.178083842,281.2,45.64,487.2,9.76848,0.044442325
1586740719,23.53305221,90,0.039188634,0.0005,0.25,0.154281452,0,0,89.08,0.0005,0.251841667,1,1,0.296,0.185464223,299.2,45.73,483.6,9.94236,0.045739193
1586740719,24.03396559,90,0.042258474,0.0005,0.25,0.154867892,0,0,89.01,0.0005,0.247271429,1,1,0.299,0.194177468,278,46.59,496.2,9.84948,0.047246457
1586740720,24.53477907,90,0.042258474,0.0005,0.25,0.154117916,0,0,88.87,0.0005,0.247261905,1,1,0.298,0.20134919,335.2,46.62,512.4,10.69392,0.04854311
1586740720,25.03562498,90,0.04815318,0.0005,0.25,0.155422231,0,0,88.87,0.0005,0.25185119,1,1,0.309,0.209609383,382.2,45.93,498.4,11.11836,0.050195039
1586740721,25.53680205,90,0.050071323,0.0005,0.25,0.155107405,0,0,88.8,0.0005,0.25185119,1,1,0.312,0.216296564,349,46.28,517.4,10.95216,0.051576224
1586740721,26.03682303,90,0.052000282,0.0005,0.25,0.154817073,0,0,88.75,0.0005,0.251841667,1,1,0.327,0.22396924,387.4,45.5,510,11.3148,0.053281669
1586740722,26.53477192,90,0.054746049,0.0005,0.25,0.154940974,0,0,88.74,0.0005,0.247233333,1,1,0.371,0.229484972,422.8,47.55,502.2,11.6706,0.054803143
1586740722,27.03510833,90,0.058298741,0.0005,0.25,0.154369654,0,0,88.6,0.0005,0.25185119,1,1,0.47,0.233725857,400.2,46.32,491,11.25024,0.056501289
1586740723,27.53604984,90,0.061083662,0.0005,0.25,0.15408118,0,0,88.62,0.0005,0.25185119,1,1,0.655,0.235893498,470,45.31,533.2,12.58212,0.058083758
1586740723,28.03414798,90,0.063080057,0.0005,0.25,0.153512471,0,0,88.48,0.0005,0.251783333,1,1,0.651,0.237204179,435,45.62,511.6,11.90664,0.059875084
1586740724,28.53576803,90,0.067502349,0.0005,0.25,0.154381284,0,0,88.49,0.0005,0.25185119,1,1,0.41,0.240224378,460,46.41,477.6,11.80812,0.061389598
1586740724,29.03626037,90,0.068309558,0.0005,0.25,0.154499058,0,0,88.38,0.0005,0.247242857,1,1,0.356,0.245723673,461.2,46.77,519,12.32364,0.063285682
1586740725,29.53792024,90,0.0727602,0.0005,0.25,0.154180483,0,0,88.34,0.0005,0.25185119,1,1,0.34,0.251009572,493,46.62,515.4,12.66024,0.064851184
