Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1586739812,0.507062912,20,0,0,0,0,0,0,90.06,0,0,1,1,0,0,4.2,2.67,489.8,6.17388,0.000769146
1586739813,1.000992775,20,0,0,0,0,0,0,89.96,0,0,1,1,0,0,5.8,2.68,538,6.01824,0.001628653
1586739813,1.512314558,20,0,0,0,0,0,0,90.05,0,0,1,1,0,0,4,2.61,538.8,6.2502,0.002502655
1586739814,2.009530067,20,0,0,0,0,0,0,90.02,0,0,1,1,0,0,4.4,2.72,506,6.22572,0.00339517
1586739814,2.50369668,20,0,0,0,0,0,0,89.98,0,0,1,1,0,0,3.8,2.63,503.2,6.11556,0.004269961
1586739815,3.010907888,20,0,0,0,0,0,0,90.03,0,0,1,1,0,0,4.6,2.7,504.4,6.1404,0.005151056
1586739815,3.504214764,90,0,0,0,0,0,0,90.05,0,0,1,1,0,0,3.4,2.75,537,6.5178,0.006032636
1586739816,4.001873016,90,0,0,0,0,0,0,89.95,0,0,1,1,0,0,4.8,2.62,517.8,6.30264,0.006922809
1586739816,4.503153563,90,0,0,0,0,0,0,90.02,0,0,1,1,0,0,5,2.6,542.8,6.6048,0.00782597
1586739817,5.005059242,90,0,0,0,0,0,0,90.01,0,0,1,1,0,0,5,2.65,507.4,6.6786,0.008618382
1586739817,5.503039598,90,0.000402591,0,0,0,0,0,90.08,0,0,1,1,0,0,4.2,2.66,505.4,6.14712,0.009511367
1586739818,6.003129959,90,0.00040518,0,0,0,0,0,90.04,0,0,1,1,0,0,4.6,2.66,509.4,6.19992,0.010438402
1586739818,6.503596544,90,0,0,0,0,0,0,89.98,0,0,1,1,0,0,3.8,2.65,536.4,6.54936,0.011232014
1586739819,7.004093885,90,0,0.0005,0,0,0,0,90.07,0.0005,0,1,1,0,0,4.6,2.58,493.8,6.01176,0.012163721
1586739819,7.502301455,90,0,0.0005,0,0,0,0,90.04,0.0005,0,1,1,0,0,5.2,2.72,500.6,6.10224,0.013085759
1586739820,8.002321243,90,0.001610343,0.0005,0,0,0,0,89.98,0.0005,0,1,1,0,0,5.6,2.75,509,6.61104,0.01388415
1586739820,8.503750801,90,0.000815527,0.0005,0,0,0,0,89.99,0.0005,0,1,1,0,0,4.6,2.68,541.8,6.58896,0.014782979
1586739821,8.999069929,90,0.000418117,0.0005,0,0,0,0,90.01,0.0005,0,1,1,0,0,4.4,2.57,559,6.79164,0.01571831
1586739821,9.514247894,90,0,0.0005,0,0,0,0,89.99,0.0005,0,1,1,0,0,4.8,2.79,552,6.71508,0.016639949
1586739822,10.02852416,90,0,0.0005,0,0,0,0,89.99,0.0005,0,1,1,0,0,4.2,2.82,510.4,6.20904,0.017559469
1586739822,10.51728535,90,0.004441487,0.0005,0.25,0,0,0,89.96,0.0005,0,1,1,0,0,13.8,2.82,546.6,6.75864,0.018400195
1586739823,11.01810575,90,0.002054662,0.0005,0.25,0,0,0,89.98,0.0005,0,1,1,0,0,7.2,2.61,524.8,6.41532,0.019373304
1586739823,11.51992869,90,0.005292072,0.0005,0.25,0.076567766,0,0,89.87,0.0005,0.100725,1,1,0,0,6.8,36.17,502.6,6.54684,0.020285896
1586739824,12.01805639,90,0.005292072,0.0005,0.25,0.091141889,0,0,89.91,0.0005,0.146530952,1,1,0,0,19,38.32,498.2,7.2906,0.021162775
1586739824,12.51910639,90,0.003715211,0.0005,0.25,0.114781904,0,0,89.84,0.0005,0.178585714,1,1,0.348,0.003448746,11.2,42.38,527,6.96696,0.02217496
1586739825,13.01624036,90,0.003336655,0.0005,0.25,0.12947109,0,0,89.87,0.0005,0.201480952,1,1,0.349,0.008671313,9.6,42.13,513.2,7.01088,0.023039292
1586739825,13.51745749,90,0.006579453,0.0005,0.25,0.135319794,0,0,89.84,0.0005,0.215217857,1,1,0.351,0.014807745,27,44.75,526.4,7.1778,0.024099368
1586739826,14.01772308,90,0.005816828,0.0005,0.25,0.141893442,0,0,89.76,0.0005,0.228954762,1,1,0.36,0.020859267,19.8,46.11,501.2,6.80532,0.025163931
1586739826,14.51870918,90,0.008268399,0.0005,0.25,0.145484387,0,0,89.79,0.0005,0.238077381,1,1,0.36,0.025745692,41.8,45.16,507,7.12752,0.026044448
1586739827,15.01921368,90,0.010335297,0.0005,0.25,0.147318686,0,0,89.74,0.0005,0.242692857,1,1,0.36,0.031559463,55.2,44.43,512.6,7.34676,0.027124988
1586739827,15.52008939,90,0.009999666,0.0005,0.25,0.149068438,0,0,89.69,0.0005,0.238140476,1,1,0.351,0.036844689,54.4,46.62,497.2,7.35348,0.028071717
1586739828,16.02107334,90,0.012077308,0.0005,0.25,0.151275403,0,0,89.72,0.0005,0.242692857,1,1,0.347,0.042864044,71.4,45.68,526.4,7.72176,0.029137133
1586739828,16.52212119,90,0.011346763,0.0005,0.25,0.152357703,0,0,89.65,0.0005,0.247233333,1,1,0.346,0.049227998,62.6,47.05,490.2,7.1982,0.030262843
1586739829,17.02276278,90,0.014640882,0.0005,0.25,0.154613827,0,0,89.62,0.0005,0.247271429,1,1,0.348,0.054732369,78.4,46.91,512.6,7.65492,0.031219841
1586739829,17.52336884,90,0.016748068,0.0005,0.25,0.153813044,0,0,89.63,0.0005,0.25185119,1,1,0.343,0.06085593,99.8,46.5,511,7.8876,0.032306725
1586739830,18.02413869,90,0.017258177,0.0005,0.25,0.154675091,0,0,89.6,0.0005,0.247271429,1,1,0.342,0.066544668,100.8,46.22,489.4,7.89816,0.033325992
1586739830,18.52570415,90,0.019780571,0.0005,0.25,0.155512077,0,0,89.46,0.0005,0.246541667,1,1,0.339,0.073231258,139.6,46.25,516,8.4222,0.03451552
