Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590080158,0,80,0.246652662,0.0005,0.25,0.154451179,0,0,85.08,0.0005,0.246863095,1,1,0.321,0.762018574,1720,47.22,543.6,27.72984,0.299478175
1590080159,0.999189,80,0.044338593,0.0005,0.25,0.15500646,0,0,85.06,0.0005,0.247252381,1,1,0.311,0.775217842,354.6,47.31,507.4,10.91172,0.303443521
1590080160,2.012244,80,0.042373958,0.0005,0.25,0.151854743,0,0,85.12,0.0005,0.256420238,1,1,0.318,0.789734973,338.8,45.05,501.8,10.6278,0.306322742
1590080161,3.001315,80,0.040076301,0.0005,0.25,0.152334495,0,0,85.05,0.0005,0.247261905,1,1,0.33,0.802790572,287.4,46.82,515.8,10.20024,0.30924749
1590080162,4.012369,80,0.038927499,0.0005,0.25,0.153589923,0,0,85.02,0.0005,0.247290476,1,1,0.322,0.816298083,304.2,47.4,504,10.2672,0.312137322
1590080163,5.005413,80,0.037614043,0.0005,0.25,0.152982966,0,0,85.08,0.0005,0.249871429,1,1,0.333,0.82844302,266,47.24,535.8,10.64064,0.314828001
1590080164,6.013176,80,0.032435303,0.0005,0.25,0.150260369,0,0,85.09,0.0005,0.251841667,1,1,0.329,0.842183195,257.8,45.28,534.8,10.05456,0.315969125
1590080165,7.000328,80,0.030522874,0.0005,0.25,0.151302056,0,0,85.01,0.0005,0.242683333,1,1,0.315,0.854812316,225.2,47.21,568.2,9.8526,0.318543734
1590080166,8.013318,80,0.02615033,0.0005,0.25,0.154906109,0,0,85.07,0.0005,0.251841667,1,1,0.317,0.869202793,175.6,48.06,554.2,9.62328,0.321231021
1590080167,9.002277,80,0.024650624,0.0005,0.25,0.160774991,0,0,85.13,0.0005,0.224005952,1,1,0.323,0.883423511,168.4,55.95,528,9.0282,0.323886166
1590080168,10.003858,80,0.026328415,0.0005,0.25,0.16455645,0,0,84.96,0.0005,0.256420238,1,1,0.348,0.895786935,182.4,53.08,550.6,9.43296,0.326505699
1590080169,11.002461,80,0.02417332,0.0005,0.25,0.157839084,0,0,84.96,0.0005,0.256420238,1,1,0.335,0.907623983,177,47.72,544,9.07488,0.329073619
1590080170,12.011291,80,0.022726365,0.0005,0.25,0.157189466,0,0,84.93,0.0005,0.251870238,1,1,0.31,0.921038705,151.4,48.34,511,8.52888,0.331533368
1590080171,13.007653,80,0.018007601,0.0005,0.25,0.153289668,0,0,84.95,0.0005,0.256420238,1,1,0.293,0.937223329,109,46.36,505.2,7.92672,0.333910499
1590080172,13.999278,80,0.020595689,0.0005,0.25,0.150263752,0,0,84.87,0.0005,0.256420238,1,1,0.284,0.954147576,149.4,44.41,504.8,8.38332,0.336213468
1590080173,15.001191,80,0.019144628,0.0005,0.25,0.152201304,0,0,84.91,0.0005,0.242683333,1,1,0.275,0.97263801,130,47.34,491.6,8.02728,0.338481096
1590080174,16.010347,80,0.019781079,0.0005,0.25,0.153442876,0,0,84.76,0.0005,0.251841667,1,1,0.289,0.990078431,124.2,47.98,516.4,8.26296,0.340756877
1590080175,17.000038,80,0.017177928,0.0005,0.25,0.153744481,0,0,84.76,0.0005,0.24259881,1,1,0.281,1.00821489,121.8,49.01,523,8.32572,0.343084368
1590080176,18.000397,80,0.020761221,0.0005,0.25,0.148023106,0,0,84.61,0.0005,0.26099881,1,1,0.28,1.026934991,147.6,43.08,484.2,8.09856,0.345402307
1590080177,19.000272,80,0.018646068,0.0005,0.25,0.145022184,0,0,84.55,0.0005,0.26099881,1,1,0.285,1.04502919,129.8,40.94,511.6,8.18808,0.347682267
