Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590082593,27.990638,82.5,0.414928088,0.0005,0.25,0.154561199,0,0,78.79,0.0005,0.256429762,1,1,0.343,1.407891254,2589,44.75,540.2,38.0874,0.363990909
1590082594,28.988593,82.5,0.413695692,0.0005,0.25,0.153667075,0,0,78.95,0.0005,0.253692857,1,1,0.372,1.417861509,2829.4,45.2,574,41.28564,0.374361661
1590082595,29.989368,82.5,0.40955042,0.0005,0.25,0.15849902,0,0,78.94,0.0005,0.233507143,1,1,0.339,1.429851274,2715,52.72,549,39.80064,0.386040848
1590082596,30.991247,82.5,0.408620214,0.0005,0.25,0.161285868,0,0,79.09,0.0005,0.233534524,1,1,0.349,1.442214061,2813.8,52.69,519.4,40.63068,0.397033675
1590082597,31.98742,82.5,0.40673667,0.0005,0.25,0.163798439,0,0,79.2,0.0005,0.256469048,1,1,0.36,1.45416758,2773.6,49.11,561,40.60452,0.407961145
1590082598,32.994431,82.5,0.400861714,0.0005,0.25,0.156519516,0,0,79.37,0.0005,0.269555952,1,1,0.332,1.46618619,2741.6,42.81,548.4,39.99372,0.419135117
1590082599,33.989565,82.5,0.400182041,0.0005,0.25,0.156498616,0,0,79.43,0.0005,0.247271429,1,1,0.362,1.477740259,2530,46.98,530.8,37.29336,0.429916023
1590082600,34.99158,82.5,0.398196806,0.0005,0.25,0.156607642,0,0,79.55,0.0005,0.242729762,1,1,0.353,1.487936606,2585.8,48.33,543.8,39.15144,0.439915835
1590082601,35.98923,82.5,0.39418626,0.0005,0.25,0.157193932,0,0,79.66,0.0005,0.256429762,1,1,0.258,1.506030485,2562.6,46.39,536.8,38.50032,0.450683911
1590082602,36.990566,82.5,0.388866431,0.0005,0.25,0.155284583,0,0,79.81,0.0005,0.25185119,1,1,0.373,1.520442256,2441.6,45.08,488,35.69616,0.461073191
1590082603,37.997147,82.5,0.390815743,0.0005,0.25,0.157750466,0,0,79.91,0.0005,0.242328571,1,1,0.341,1.531563541,2667.8,75.86,521,39.17592,0.471804716
1590082604,38.990077,82.5,0.386638279,0.0005,0.25,0.159033313,0,0,80.01,0.0005,0.247271429,1,1,0.322,1.545791549,2405.8,47.84,547.2,36.01008,0.482172625
1590082605,39.987928,82.5,0.381967256,0.0005,0.25,0.159629037,0,0,80.09,0.0005,0.251870238,1,1,0.373,1.55628272,2527.4,46.74,518.2,36.34404,0.491755017
1590082606,40.9895,82.5,0.376849959,0.0005,0.25,0.156451999,0,0,80.25,0.0005,0.25185119,1,1,0.357,1.566694982,2573,45.78,502.6,35.04636,0.502128926
1590082607,41.992328,82.5,0.374423341,0.0005,0.25,0.157689376,0,0,80.32,0.0005,0.247271429,1,1,0.343,1.579106791,2334.6,47.97,541,35.08284,0.512309962
1590082608,42.991604,82.5,0.370374014,0.0005,0.25,0.160527716,0,0,80.45,0.0005,0.228954762,1,1,0.351,1.590763847,2556.8,52.17,554.2,37.95804,0.522689545
1590082609,43.98878,82.5,0.36809975,0.0005,0.25,0.164235467,0,0,80.56,0.0005,0.25185119,1,1,0.318,1.603290111,2523.4,50.19,570.6,37.73028,0.532928142
1590082610,44.990606,82.5,0.364732555,0.0005,0.25,0.158676874,0,0,80.63,0.0005,0.256429762,1,1,0.315,1.617805495,2505.2,45.68,542.8,37.12416,0.543019808
1590082611,45.987616,82.5,0.35928847,0.0005,0.25,0.157309742,0,0,80.79,0.0005,0.25189881,1,1,0.299,1.632122201,2428.2,47.01,597.4,34.61616,0.552378909
1590082612,46.995564,82.5,0.359793096,0.0005,0.25,0.158507599,0,0,80.91,0.0005,0.242692857,1,1,0.273,1.649785577,2447.4,48.02,567.2,36.75144,0.562356197
1590082613,47.989631,82.5,0.353444095,0.0005,0.25,0.155839228,0,0,80.99,0.0005,0.256429762,1,1,0.288,1.668355625,2423.4,46.38,597,36.80136,0.57260277
1590082614,48.988077,82.5,0.348632108,0.0005,0.25,0.156321701,0,0,81.12,0.0005,0.247271429,1,1,0.285,1.685461763,2316,46.52,561.2,35.08464,0.58236716
1590082615,49.988173,82.5,0.345790963,0.0005,0.25,0.156177256,0,0,81.22,0.0005,0.242692857,1,1,0.275,1.703665263,2366.8,47.37,551.4,35.58684,0.592097873
1590082616,50.988131,82.5,0.344072247,0.0005,0.25,0.157111662,0,0,81.4,0.0005,0.247290476,1,1,0.276,1.722517923,2369.6,46.48,542.4,35.50176,0.601715435
1590082617,51.98781,82.5,0.34151174,0.0005,0.25,0.154605483,0,0,81.41,0.0005,0.256429762,1,1,0.32,1.737905074,2285.2,45.64,535.6,34.39728,0.610584508
1590082618,52.990241,82.5,0.337679932,0.0005,0.25,0.156117644,0,0,81.48,0.0005,0.25185119,1,1,0.327,1.751207321,2321.8,46.25,554.8,35.0742,0.620310238
1590082619,53.99182,82.5,0.32855232,0.0005,0.25,0.156219973,0,0,81.55,0.0005,0.247242857,1,1,0.354,1.763439872,2150.2,46.73,537.8,32.81676,0.629682549
1590082620,54.987595,82.5,0.330611937,0.0005,0.25,0.157252733,0,0,81.65,0.0005,0.25185119,1,1,0.383,1.773870846,2235,47.05,545.4,33.9294,0.638850268
1590082621,55.988563,82.5,0.327220647,0.0005,0.25,0.157092408,0,0,81.82,0.0005,0.25185119,1,1,0.353,1.784888873,2151.6,46.32,524,32.66304,0.648083888
1590082622,56.990108,82.5,0.322390074,0.0005,0.25,0.15835288,0,0,81.84,0.0005,0.251841667,1,1,0.359,1.795646244,2219.2,46.95,523.4,30.40236,0.656699814
1590082623,57.990429,82.5,0.319507285,0.0005,0.25,0.158640931,0,0,81.97,0.0005,0.242617857,1,1,0.32,1.808434951,1973.4,47.52,497.4,30.21984,0.665844998
