Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590081807,0,77.5,0.285353213,0.0005,0.25,0.158149696,0,0,75.12,0.0005,0.26547619,1,1,0.193,0.577201063,1891.8,45.26,513.2,29.40312,0.089037038
1590081808,0.9993117,77.5,0.291912879,0.0005,0.25,0.155757748,0,0,74.98,0.0005,0.251841667,1,1,0.241,0.608179095,1823.8,46.51,508.4,28.54452,0.097208388
1590081809,2.0002942,77.5,0.28858341,0.0005,0.25,0.156439317,0,0,75,0.0005,0.247261905,1,1,0.186,0.637802262,1822.6,46.97,554.8,29.09244,0.105894767
1590081810,3.0042326,77.5,0.288717132,0.0005,0.25,0.155802242,0,0,75.03,0.0005,0.251841667,1,1,0,0.690008078,1999.2,46.66,531.4,30.92712,0.113737119
1590081811,3.9983056,77.5,0.2928739,0.0005,0.25,0.152336339,0,0,75.03,0.0005,0.256390476,1,1,0.166,0.756204304,1975.2,44.72,543.8,30.76464,0.12246287
1590081812,5.0091927,77.5,0.294614675,0.0005,0.25,0.15194947,0,0,75.05,0.0005,0.247271429,1,1,0.243,0.788975701,1888,45.92,581.8,30.18864,0.13069389
1590081813,6.0019083,77.5,0.295989655,0.0005,0.25,0.15485289,0,0,75,0.0005,0.247242857,1,1,0.164,0.825476889,2044.6,46.76,559.2,31.80672,0.139197995
1590081814,6.999305,77.5,0.2953114,0.0005,0.25,0.155379126,0,0,75.08,0.0005,0.247261905,1,1,0.144,0.890719382,1929.2,46.31,557,30.39012,0.14763486
1590081815,8.0011439,77.5,0.296784144,0.0005,0.25,0.152171787,0,0,75.04,0.0005,0.25645,1,1,0.292,0.92462493,2050.4,44.35,521.6,30.27624,0.155645274
1590081816,8.9983127,77.5,0.298106071,0.0005,0.25,0.153641472,0,0,75.1,0.0005,0.247261905,1,1,0.291,0.938850505,1852.2,46.53,530,29.14476,0.164342637
1590081817,10.0012357,77.5,0.297806638,0.0005,0.25,0.156126522,0,0,75.1,0.0005,0.247271429,1,1,0.249,0.961331423,1989.8,47.85,506,30.5238,0.172701016
