Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590078783,1.00638032,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078784,2.011763573,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078785,3.010145903,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078786,4.010532856,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078787,5.009914398,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078788,6.009298801,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078789,7.008685827,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078790,8.015063286,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078791,9.021443367,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078792,10.01982927,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1590078793,11.01221728,20,0,0,0,0,0,0,24.02,0,0,1,1,0.254,0,4.8,2.73,520.4,7.2198,0.000128273
1590078794,12.01060247,20,0,0,0,0,0,0,24.05,0,0,1,1,0.252,0,4.8,2.83,587.4,7.14036,0.002011978
1590078795,13.00998688,20,0,0,0,0,0,0,23.98,0,0,1,1,0.251,0,4.4,2.68,546.8,6.64656,0.003900677
1590078796,14.01436853,20,0,0,0,0,0,0,23.95,0,0,1,1,0.254,0,4.8,2.65,531,6.4614,0.005802247
1590078797,15.0117538,20,0,0,0,0,0,0,24,0,0,1,1,0.254,0,5.2,2.68,592.4,6.36864,0.007510602
1590078798,16.02013445,20,0,0,0,0,0,0,24.04,0,0,1,1,0.25,0,3.8,34.05,591.4,7.05384,0.009394816
1590078799,17.00752521,20,0,0,0,0,0,0,23.98,0,0,1,1,0.251,0,4.6,2.73,530,6.44796,0.011289979
1590078800,18.00690937,20,0,0,0,0,0,0,23.98,0,0,1,1,0.253,0,5,2.66,552.2,6.71832,0.013174561
1590078801,19.00829339,20,0,0,0,0,0,0,24.05,0,0,1,1,0.251,0,4.4,2.71,517,6.28932,0.015060072
1590078802,20.0116756,20,0,0,0,0,0,0,23.95,0,0,1,1,0.256,0,4.6,2.65,515.8,6.88668,0.016844152
1590078803,21.01205969,20,0,0,0,0,0,0,24.02,0,0,1,1,0.255,0,5,2.62,537.4,6.3594,0.018678597
1590078804,22.01444244,20,0,0,0,0,0,0,24,0,0,1,1,0.256,0,4.6,2.83,511,6.22116,0.020526553
1590078805,23.01682472,20,0,0,0,0,0,0,23.97,0,0,1,1,0.255,0,5.6,2.68,519.6,6.33456,0.02237289
1590078806,24.02020693,20,0,0,0,0,0,0,24,0,0,1,1,0.252,0,5.2,2.77,523.8,6.38124,0.024238308
1590078807,25.01117182,20,0,0,0,0,0,0,24.02,0,0,1,1,0.253,0,4.6,2.71,521.6,6.84096,0.025984603
1590078808,26.0085578,20,0,0,0,0,0,0,23.99,0,0,1,1,0.259,0,5.2,2.38,552.4,6.71976,0.027882074
1590078809,27.01094174,85,0,0,0,0,0,0,24.05,0,0,1,1,0.255,0,4,2.83,577.6,7.01316,0.029800113
1590078810,28.01332283,85,1,0,0,0,0,0,24.05,0,0,1,1,0.257,0,6353.4,2.82,589,83.2518,0.040328242
1590078811,29.0117085,85,1,0,0,0,0,0,24.02,0,0,1,1,0.252,0,6386.4,2.88,546.6,83.23056,0.063845619
1590078812,30.01009297,85,1,0,0,0,0,0,24.02,0,0,1,1,0.252,0,6400,2.58,560,83.55096,0.087450801
1590078813,31.0134747,85,1,0,0,0,0,0,23.95,0,0,1,1,0.256,0,6400,2.89,539.6,83.42292,0.10956499
1590078814,32.00886202,85,1,0,0,0,0,0,24.02,0,0,1,1,0.257,0,6400,2.62,523.6,83.11464,0.133266316
1590078815,33.01024485,85,1,0,0,0,0,0,23.98,0,0,1,1,0.253,0,6400,2.71,573.4,83.71332,0.15666344
1590078816,34.01162982,85,1,0,0,0,0,0,24.02,0,0,1,1,0.258,0,6400,2.75,555.2,83.4954,0.180351705
1590078817,35.01201344,85,1,0,0,0,0,0,24.05,0,0,1,1,0.256,0,6400,2.85,539.4,83.307,0.202472014
1590078818,36.0133965,85,1,0,0,0,0,0,24.17,0,0,1,1,0.259,0,6400,2.68,524,83.12016,0.226087851
1590078819,37.00778294,85,1,0,0,0,0,0,24.36,0,0,1,1,0.259,0,6400,2.68,576.6,83.72064,0.248299703
1590078820,38.01016641,85,1,0,0,0,0,0,24.33,0,0,1,1,0.257,0,6400,2.52,615.4,84.21504,0.271954946
1590078821,39.01154971,85,1,0,0,0,0,0,24.54,0,0,1,1,0.254,0,6400,2.73,528,83.16876,0.295318486
1590078822,40.00881672,85,1,0,0,0,0,0,24.7,0,0,1,1,0.251,0,6400,2.77,598.6,84.01644,0.318947834
1590078823,41.02019405,85,1,0,0,0,0,0,24.87,0,0,1,1,0.251,0,6400,2.64,520.4,83.07648,0.342586735
1590078824,42.01258397,85,1,0,0,0,0,0,25.07,0,0,1,1,0.255,0,6400,2.65,543.8,83.3574,0.364700707
1590078825,43.01296782,85,1,0,0,0,0,0,25.31,0,0,1,1,0.251,0,6400,2.67,552.2,83.45844,0.388339872
1590078826,44.00935245,85,1,0,0,0,0,0,25.59,0,0,1,1,0.252,0,6400,-247.74,525,83.07624,0.410400373
1590078827,45.01274681,85,1,0,0,0,0,0,25.87,0,0,1,1,0.256,0,6400,2.77,555.6,83.50044,0.433755488
1590078828,46.0111227,85,1,0,0,0,0,0,26.11,0,0,1,1,0.255,0,-0.2,2.68,545.6,6.57696,0.453742369
1590078829,47.00726151,85,1,0,0,0,0,0,26.49,0,0,1,1,0.251,0,6400,2.83,570.8,83.68356,0.477404909
1590078830,48.01164436,85,1,0,0,0,0,0,26.84,0,0,1,1,0.255,0,6400,2.72,819.2,83.2266,0.49953828
1590078831,49.013026,85,1,0,0,0,0,0,27.21,0,0,1,1,0.258,0,6400,2.88,543.4,83.35536,0.524040729
1590078832,50.01341009,85,1,0,0,0,0,0,27.66,0,0,1,1,0.257,0,6400,2.68,566.8,83.03904,0.546145875
1590078833,51.01279426,85,1,0,0,0,0,0,28.05,0,0,1,1,0.253,0,6400,2.57,543.6,83.35404,0.569776963
1590078834,52.01317954,85,1,0,0,0,0,0,28.48,0,0,1,1,0.253,0,6400,2.64,550.2,83.43408,0.593090541
1590078835,53.00956464,85,1,0,0,0,0,0,28.94,0,0,1,1,0.249,0,6400,2.75,589.8,83.9106,0.616284907
1590078836,54.00795245,85,1,0,0,0,0,0,29.4,0,0,1,1,0.256,0,6400,2.69,582.8,83.13408,0.638399083
1590078837,55.01532888,85,1,0,0,0,0,0,29.79,0,0,1,1,0.25,0,6400,2.73,517,83.03676,0.66209219
1590078838,56.02071118,85,1,0,0,0,0,0,30.33,0,0,1,1,0.252,0,6400,2.83,510,82.95396,0.685751436
1590078839,57.01010036,85,1,0,0,0,0,0,30.9,0,0,1,1,0.257,0,6400,2.79,552.8,83.84352,0.707882128
1590078840,58.01248431,85,1,0,0,0,0,0,31.34,0,0,1,1,0.255,0,6400,2.76,534.2,83.24352,0.731225965
1590078841,59.00986862,85,1,0,0,0,0,0,31.95,0,0,1,1,0.256,0,6400,2.62,551,83.44344,0.754906693
1590078842,60.02124572,85,1,0,0,0,0,0,32.46,0,0,1,1,0.253,0,6400,2.77,574.8,83.73084,0.778534486
1590078843,61.01163721,85,1,0,0,0,0,0,33.04,0,0,1,1,0.252,0,6400,2.63,566.8,83.63316,0.801266489
1590078844,62.0120194,85,1,0,0,0,0,0,33.54,0,0,1,1,0.257,0,6400,2.75,558,83.529,0.824890434
1590078845,63.00940514,85,1,0,0,0,0,0,34.2,0,0,1,1,0.254,0,6400,2.52,570.6,84.27696,0.847074803
