Run File,Feed Rate Ave (RPS),Spool Wind Rate Set (RPS),Spool Rate Ave (RPS),Wind BF Rate Ave (PPS),Heater Set (C),Heater Temp Ave (C),Filament Diamter Ave (mm),Filament Std Dev (mm),System Power Ave (W),System Power Std Dev (W),Heater Current Ave (mA),Heater Current Std Dev (mA),Spool DC Motor Current Ave (mA),Spool DC Motor Current Std Dev (mA),Stepper and 12V Current Ave (mA),Stepper and 12V Current Std Dev (mA)
log_Manual Control__2020-05-22_10-51-30.csv,0.0030000000000000022,1.0,1.002279455587378,221.23609540000066,85.0,84.93951456310674,0.356398058252427,0.025967837445137372,27.19463533980583,1.8276233209668993,1613.6708737864092,144.7725274646438,119.13398058252429,35.983682327323976,532.9747572815536,36.65176592011293
log_Manual Control__2020-05-22_10-51-30.csv,0.0030000000000000022,0.75,0.7502441337148605,191.59607889999998,85.0,84.94835341365459,0.40355823293172705,0.0409078136328467,26.547428915662653,5.404866725109212,1618.5132530120495,88.96515551737141,92.96008032128515,36.433177995674356,501.6200803212854,430.992127480298
log_Manual Control__2020-05-22_10-51-30.csv,0.004000000000000003,1.5,1.4999297252230765,312.87508660000003,85.0,84.84984615384622,0.32856923076923067,0.02417312828714238,27.826186153846137,9.84562293164162,1646.9738461538466,78.87658258105549,170.47407692307684,55.841558038615645,563.6723076923078,498.32385099200445
log_Manual Control__2020-05-22_10-51-30.csv,0.004000000000000003,1.0,1.0001158753529404,255.46143850000016,85.0,84.92588235294117,0.39944117647058847,0.029124900565105003,27.21119294117647,2.3302393500360403,1628.5058823529412,171.5391144195517,109.65394117647058,83.42311204238761,528.2517647058822,65.26183333586724
log_Manual Control__2020-05-22_10-51-30.csv,0.005000000000000004,1.5,1.4999034234792887,349.80498110000036,85.0,84.8301183431953,0.3651479289940828,0.04617560308312354,27.796655147928988,6.696568213075908,1658.975147928994,156.46644885339944,177.17887573964495,39.343851707489144,530.1147928994084,62.78715618857508
log_Manual Control__2020-05-22_13-15-23.csv,0.0005000000000000003,0.25,0.24999080432545873,45.15962887000006,80.0,80.0874015748032,0.30355118110236273,0.01821554078892266,23.138546456692914,11.229036432808673,1420.927034120735,846.884189702012,8.666404199475066,153.3656476097989,503.82624671916,353.90977164694306
log_Manual Control__2020-05-22_13-15-23.csv,0.0005000000000000003,0.5,0.500615002959493,63.8653596199995,80.0,80.0255443037974,0.21520253164556932,0.016121823455926027,23.57116860759492,7.9448822909924015,1401.0116455696202,552.3192477522764,49.60589873417722,90.66964338948016,504.99848101265815,347.01971490933744
log_Manual Control__2020-05-22_13-15-23.csv,0.0005000000000000003,0.75,0.7502215450788058,78.21877165999933,80.0,80.00796195652175,0.18083695652173906,0.013955575428297088,23.786746956521732,6.748582408218324,1399.958152173912,409.2188500494733,83.8539130434782,71.08139410120742,487.90923913043474,502.8460886854262
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,0.25,0.2494973917437182,63.865359619999495,80.0,79.98050251256271,0.4174246231155781,0.019142264597957183,23.71389407035173,4.982519523680356,1390.0447236180894,534.0696505580078,29.875402010050227,79.5118990079033,511.8015075376884,344.3331312659214
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,0.5,0.49952248968148183,90.3192577500006,80.0,79.98765432098769,0.2954148148148152,0.015893232191185908,23.842184000000007,5.745624397603232,1398.4745679012342,190.90362523753987,60.26125925925928,76.25809415337757,521.7955555555556,440.99156396143076
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,0.75,0.7496767316191655,110.61804770000096,80.0,79.97277641277641,0.24279115479115462,0.016524444361946156,24.60818859950861,1.6639772982002696,1432.4796068796065,124.02321231904024,95.45609336609346,45.108125295843834,523.478132678133,52.08309662587267
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,1.0,0.9996073167858938,127.7307192000006,80.0,80.00337531486146,0.21374559193954654,0.01106720799902452,24.423261158690174,4.518368440857055,1404.3385390428202,167.42289360753742,114.83632241813599,52.25282191960977,512.1889168765744,344.4251417372034
log_Manual Control__2020-05-22_13-15-23.csv,0.0010000000000000007,1.5,1.5000715076360749,156.43754330000044,80.0,79.9974050632911,0.17885759493670864,0.009392768540956092,24.875277341772154,7.9753859310164925,1338.463924050632,709.4812288281302,168.96553797468334,52.52567282219192,545.0588607594937,321.436216216905
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,1.5,1.5001166782439017,221.23609540000066,80.0,79.95746341463416,0.23934634146341452,0.012904705357854065,24.983562146341463,6.166492213789994,1429.5502439024383,120.2328641838087,165.0271707317074,68.42375972494627,499.17951219512213,477.9324258677572
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,1.0,0.9987162986106873,180.63851550000052,80.0,79.96839694656487,0.29030534351145054,0.013142830529455684,24.828651297709932,1.6849212387219745,1424.2526717557248,122.23610143795523,116.29297709923657,62.831101337772864,533.7641221374045,22.941907541444703
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,0.75,0.7501649654574147,156.43754330000044,80.0,79.99082018927443,0.32529022082018916,0.018297065172820096,23.87530940063092,6.970999678078881,1398.2391167192432,432.60354491454996,90.03488958990538,48.61277325766408,534.0984227129339,46.623614419679285
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,0.5,0.5004848030206183,127.73071920000059,80.0,79.98706185567005,0.4006623711340207,0.03321182390469354,23.3457006185567,6.847734897756567,1375.6577319587632,548.0185069839426,47.15432989690719,116.55403845832693,509.32371134020644,351.01054285224177
log_Manual Control__2020-05-22_14-35-17.csv,0.0020000000000000013,0.25,0.24968579887869785,90.31925775000049,80.0,79.99881656804732,0.5731360946745562,0.03160934296603963,23.744005207100585,2.6384568539187083,1421.3000000000006,132.58729278371717,23.3106804733728,107.92786856455888,527.2029585798813,75.153822022001
log_Manual Control__2020-05-22_14-35-17.csv,0.0030000000000000022,1.5,1.5002349420585581,270.95777320000144,80.0,79.91918918918911,0.2842117117117118,0.015934119109882308,26.198330270270265,1.0885461314255611,1470.2936936936942,81.58418496294887,177.50040540540553,32.02333321143585,531.5234234234237,28.469497704374017
log_Manual Control__2020-05-22_14-35-17.csv,0.0030000000000000022,1.0,1.0001113181207724,221.2360954000007,80.0,79.9364734299517,0.3472946859903379,0.01987717432138836,25.36891768115942,1.663831318404403,1470.6009661835749,90.43333112134448,116.89376811594204,42.48269989756709,534.961352657005,29.566611550020184
log_Manual Control__2020-05-22_14-35-17.csv,0.003,0.75,0.750029817932355,191.5960789000005,80.0,79.96467647058819,0.3968264705882355,0.02427210313212186,25.149157764705894,1.7626451307516613,1462.7517647058821,144.58580297406584,95.64647058823527,25.153610375851322,532.382352941177,21.921456341553856
log_Manual Control__2020-05-22_14-35-17.csv,0.0030000000000000022,0.5,0.4995350577209303,156.43754330000036,80.0,79.95531561461789,0.4789667774086375,0.030061030575263947,24.86185235880398,0.9765952689577968,1474.2199335548178,69.0472833257199,64.0505647840531,46.00940098153806,534.0730897009968,22.609330819124068
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,1.5,1.500150219715384,312.87508660000003,80.0,79.82946153846157,0.3188615384615385,0.02537402500396046,28.119535384615375,2.113989904593378,1633.6476923076925,160.9962892419327,175.023923076923,64.94191717966741,538.7138461538462,37.05145752156414
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,1.0,0.9993939023023254,255.46143850000018,80.0,79.9625,0.3938430232558141,0.0404482747901135,25.702651395348834,9.797963062481173,1534.393023255814,571.7899949401124,116.4300581395349,58.711503664696735,536.7186046511625,40.19983274128862
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,0.75,0.7496968750192313,221.2360954000007,80.0,79.95125000000006,0.45072115384615397,0.02931041816752126,25.648462500000008,2.279616060879933,1483.0394230769232,530.1168167531537,83.44250000000002,76.90219928945825,529.6278846153846,72.50835161855996
log_Manual Control__2020-05-26_10-47-57.csv,0.004000000000000003,0.5,0.4995852756729327,180.63851550000055,80.0,79.99451127819553,0.5493984962406018,0.042786691609217095,24.219702857142863,9.242227102221262,1496.0533834586463,252.11289715728014,47.506090225563916,126.43774868221037,493.18646616541344,590.2914113441851
log_Manual Control__2020-05-26_10-47-57.csv,0.005000000000000004,1.0,0.998328750042857,285.6145710999996,80.0,80.0101428571429,0.41234285714285707,0.05271939719589811,24.840469714285717,9.8157401541286,1494.6957142857152,143.29565847190275,122.04178571428575,44.229983681892925,447.7142857142856,810.9091390142894
log_Manual Control__2020-05-26_10-47-57.csv,0.005000000000000004,0.75,0.7497771442159091,247.34947419999932,80.0,79.87136363636354,0.48427840909090897,0.03669124908939813,25.306374545454545,1.619509210980314,1464.4420454545464,549.8257118597475,83.63999999999999,67.42671693454628,524.756818181818,63.443991579443264
log_Manual Control__2020-05-26_10-47-57.csv,0.004999999999999986,0.5,0.49964326902109757,201.95999999999927,80.0,79.91628691983122,0.5935105485232067,0.05173593412496377,24.80764506329113,5.906213909978921,1465.6337552742627,482.0902562041053,55.4518565400844,75.4497542701102,539.7569620253166,59.76589927504925
