Time (s),Run A Diameter (mm),Run B Diameter (mm)
22.9,0.38227,0.38227
23,0.38227,0.38227
23.1,0.38227,0.38227
23.2,0.38227,0.38227
23.3,0.38227,0.38227
23.4,0.395941,0.3686
23.5,0.409611,0.354929
23.6,0.395941,0.354929
23.7,0.395941,0.354929
23.8,0.409611,0.354929
23.9,0.395941,0.354929
24,0.395941,0.354929
24.1,0.395941,0.354929
24.2,0.395941,0.354929
24.3,0.395941,0.354929
24.4,0.395941,0.354929
24.5,0.395941,0.354929
24.6,0.395941,0.354929
24.7,0.395941,0.354929
24.8,0.395941,0.354929
24.9,0.395941,0.3686
25,0.395941,0.3686
25.1,0.395941,0.3686
25.2,0.395941,0.3686
25.3,0.395941,0.3686
25.4,0.395941,0.3686
25.5,0.395941,0.3686
25.6,0.395941,0.3686
25.7,0.395941,0.3686
25.8,0.395941,0.3686
25.9,0.395941,0.3686
26,0.395941,0.3686
26.1,0.395941,0.354929
26.2,0.395941,0.354929
26.3,0.395941,0.354929
26.4,0.395941,0.3686
26.5,0.395941,0.3686
26.6,0.395941,0.3686
26.7,0.38227,0.3686
26.8,0.38227,0.3686
26.9,0.38227,0.3686
27,0.38227,0.3686
27.1,0.38227,0.3686
27.2,0.3686,0.3686
27.3,0.3686,0.3686
27.4,0.3686,0.3686
27.5,0.3686,0.3686
27.6,0.3686,0.3686
27.7,0.3686,0.3686
27.8,0.354929,0.3686
27.9,0.341259,0.3686
28,0.341259,0.3686
28.1,0.327588,0.3686
28.2,0.327588,0.3686
28.3,0.313918,0.3686
28.4,0.313918,0.3686
28.5,0.313918,0.3686
28.6,0.300248,0.3686
28.7,0.300248,0.3686
28.8,0.300248,0.3686
28.9,0.300248,0.3686
29,0.300248,0.3686
29.1,0.300248,0.3686
29.2,0.300248,0.3686
29.3,0.300248,0.3686
29.4,0.300248,0.38227
29.5,0.300248,0.38227
29.6,0.300248,0.3686
29.7,0.300248,0.38227
29.8,0.300248,0.38227
29.9,0.300248,0.38227
30,0.300248,0.38227
30.1,0.300248,0.3686
30.2,0.300248,0.3686
30.3,0.313918,0.3686
30.4,0.327588,0.38227
30.5,0.327588,0.38227
30.6,0.327588,0.38227
30.7,0.327588,0.38227
30.8,0.354929,0.38227
30.9,0.354929,0.38227
31,0.354929,0.38227
31.1,0.354929,0.38227
31.2,0.354929,0.38227
31.3,0.327588,0.395941
31.4,0.327588,0.395941
31.5,0.354929,0.395941
31.6,0.354929,0.395941
31.7,0.354929,0.38227
31.8,0.354929,0.38227
31.9,0.354929,0.38227
32,0.354929,0.354929
32.1,0.354929,0.354929
32.2,0.354929,0.354929
32.3,0.3686,0.354929
32.4,0.3686,0.354929
32.5,0.38227,0.354929
32.6,0.38227,0.354929
32.7,0.38227,0.354929
32.8,0.38227,0.354929
32.9,0.38227,0.354929
33,0.38227,0.354929
33.1,0.38227,0.354929
33.2,0.38227,0.354929
33.3,0.38227,0.354929
33.4,0.38227,0.354929
33.5,0.38227,0.354929
33.6,0.38227,0.341259
33.7,0.38227,0.341259
33.8,0.3686,0.341259
33.9,0.38227,0.327588
34,0.38227,0.327588
34.1,0.38227,0.327588
34.2,0.38227,0.327588
34.3,0.38227,0.327588
34.4,0.38227,0.327588
34.5,0.38227,0.327588
34.6,0.38227,0.327588
34.7,0.38227,0.327588
34.8,0.38227,0.327588
34.9,0.38227,0.327588
35,0.38227,0.327588
35.1,0.38227,0.327588
35.2,0.38227,0.327588
35.3,0.3686,0.327588
35.4,0.3686,0.327588
35.5,0.38227,0.327588
35.6,0.38227,0.354929
35.7,0.38227,0.354929
35.8,0.3686,0.354929
35.9,0.3686,0.354929
36,0.38227,0.354929
36.1,0.38227,0.354929
36.2,0.3686,0.354929
36.3,0.3686,0.354929
36.4,0.3686,0.354929
36.5,0.3686,0.354929
36.6,0.3686,0.354929
36.7,0.3686,0.354929
36.8,0.3686,0.354929
36.9,0.3686,0.3686
37,0.3686,0.3686
37.1,0.3686,0.38227
37.2,0.3686,0.38227
37.3,0.38227,0.38227
37.4,0.38227,0.38227
37.5,0.409611,0.38227
37.6,0.409611,0.38227
37.7,0.409611,0.395941
37.8,0.409611,0.395941
37.9,0.409611,0.395941
38,0.409611,0.395941
38.1,0.395941,0.395941
38.2,0.395941,0.395941
38.3,0.395941,0.395941
38.4,0.395941,0.395941
38.5,0.395941,0.395941
38.6,0.38227,0.395941
38.7,0.395941,0.395941
38.8,0.395941,0.395941
38.9,0.38227,0.395941
39,0.38227,0.395941
39.1,0.395941,0.395941
39.2,0.38227,0.395941
39.3,0.395941,0.395941
39.4,0.38227,0.395941
39.5,0.38227,0.395941
39.6,0.38227,0.395941
39.7,0.38227,0.395941
39.8,0.38227,0.395941
39.9,0.38227,0.409611
40,0.3686,0.409611
40.1,0.3686,0.423281
40.2,0.3686,0.423281
40.3,0.354929,0.423281
40.4,0.354929,0.423281
40.5,0.354929,0.423281
40.6,0.354929,0.423281
40.7,0.354929,0.423281
40.8,0.354929,0.423281
40.9,0.354929,0.409611
41,0.354929,0.395941
41.1,0.354929,0.395941
41.2,0.354929,0.38227
41.3,0.354929,0.38227
41.4,0.38227,0.38227
41.5,0.38227,0.3686
41.6,0.38227,0.3686
41.7,0.38227,0.3686
41.8,0.38227,0.38227
41.9,0.38227,0.38227
42,0.38227,0.38227
42.1,0.395941,0.38227
42.2,0.38227,0.38227
42.3,0.38227,0.38227
42.4,0.38227,0.38227
42.5,0.38227,0.38227
42.6,0.38227,0.395941
42.7,0.38227,0.38227
42.8,0.38227,0.38227
42.9,0.38227,0.3686
43,0.38227,0.3686
43.1,0.38227,0.3686
43.2,0.38227,0.3686
43.3,0.38227,0.354929
43.4,0.3686,0.354929
