Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
89.98426318,0.001,1.03685,127,0.21,1.033,1,0.224
90.98520613,0.001,1.04129,127,0.21,1.039,1,0.231
91.98542762,0.001,1.04419,127,0.21,1.042,1,0.22
92.98286557,0.001,1.04922,127,0.21,1.047,1,0.21
93.98697662,0.001,1.05102,127,0.21,1.05,1,0.198
94.98348856,0.001,1.04778,127,0.21,1.044,1,0.204
95.98663783,0.001,1.04418,127,0.21,1.041,1,0.196
96.98198104,0.001,1.04261,127,0.21,1.041,1,0.203
97.98222852,0.001,1.0402,127,0.21,1.04,1,0.211
98.98198938,0.001,1.04192,127,0.21,1.041,1,0.216
99.98355532,0.001,1.04589,127,0.21,1.044,1,0.228
100.9813297,0.001,1.05237,127,0.21,1.051,1,0.245
101.9827571,0.001,1.06144,127,0.21,1.058,1,0.242
102.9818058,0.001,1.07234,127,0.21,1.064,1,0.215
103.9841251,0.001,1.07815,127,0.21,1.073,1,0.236
104.9819562,0.001,1.08367,127,0.21,1.076,1,0.235
105.9854376,0.001,1.09402,127,0.21,1.086,1,0.214
106.9843693,0.001,1.09415,127,0.21,1.09,1,0.207
107.9839082,0.001,1.09211,127,0.21,1.092,1,0.205
108.985492,0.001,1.08883,127,0.21,1.09,1,0.21
109.9855938,0.001,1.08715,127,0.21,1.088,1,0.208
110.9925368,0.001,1.08618,127,0.21,1.088,1,0.21
111.9931765,0.001,1.08404,127,0.21,1.086,1,0.201
112.992358,0.001,1.0826,127,0.21,1.083,1,0.207
113.9933519,0.001,1.08223,127,0.21,1.085,1,0.197
115.00313,0.001,1.07664,127,0.21,1.082,1,0.194
116.0194547,0.001,1.07174,127,0.21,1.076,1,0.2
116.9886665,0.001,1.06659,127,0.21,1.071,1,0.191
118.0213265,0.001,1.05565,127,0.21,1.064,1,0.175
118.9853885,0.001,1.04527,127,0.21,1.054,1,0.2
119.9847493,0.001,1.03893,127,0.21,1.046,1,0.198
121.0013509,0.001,1.03427,127,0.21,1.039,1,0.194
121.9836798,0.001,1.02815,127,0.21,1.038,1,0.224
122.9819298,0.001,1.03262,127,0.21,1.033,1,0.222
123.9815397,0.001,1.03567,127,0.21,1.034,1,0.206
124.9829433,0.001,1.04108,127,0.21,1.035,1,0.217
125.9858882,0.001,1.04636,127,0.21,1.039,1,0.224
126.9877298,0.001,1.04954,127,0.21,1.042,1,0.21
127.9840426,0.001,1.05066,127,0.21,1.044,1,0.204
128.9856834,0.001,1.04891,127,0.21,1.051,1,0.214
129.9826634,0.001,1.05042,127,0.21,1.051,1,0.213
130.9858582,0.001,1.05128,127,0.21,1.052,1,0.202
131.9862618,0.001,1.04949,127,0.21,1.05,1,0.207
132.9818332,0.001,1.04901,127,0.21,1.05,1,0.218
134.0779769,0.001,1.05258,127,0.21,1.051,1,0.217
135.041707,0.001,1.05727,127,0.21,1.055,1,0.228
136.0571208,0.001,1.06213,127,0.21,1.059,1,0.217
137.0724289,0.001,1.06666,127,0.21,1.063,1,0.219
138.0047686,0.001,1.07159,127,0.21,1.069,1,0.212
138.9839959,0.001,1.07182,127,0.21,1.07,1,0.216
139.9829514,0.001,1.07674,127,0.21,1.073,1,0.209
140.9826646,0.001,1.07674,127,0.21,1.073,1,0.213
141.9842815,0.001,1.07933,127,0.21,1.075,1,0.216
142.9877875,0.001,1.083,127,0.21,1.078,1,0.204
143.9842629,0.001,1.07977,127,0.21,1.079,1,0.203
144.9876451,0.001,1.07557,127,0.21,1.077,1,0.194
145.9857039,0.001,1.06993,127,0.21,1.075,1,0.197
146.983825,0.001,1.06442,127,0.21,1.072,1,0.184
147.9829395,0.001,1.05582,127,0.21,1.06,1,0.189
148.9821906,0.001,1.04877,127,0.21,1.052,1,0.181
149.983705,0.001,1.04136,127,0.21,1.047,1,0.201
150.9860103,0.001,1.03584,127,0.21,1.039,1,0.195
151.9881644,0.001,1.02943,127,0.21,1.035,1,0.183
153.0040476,0.001,1.01829,127,0.21,1.029,1,0.19
154.0038033,0.001,1.01059,127,0.21,1.02,1,0.192
155.0323844,0.001,1.00143,127,0.21,1.011,1,0.211
155.9853489,0.001,0.999562,127,0.21,1.007,1,0.208
156.9839201,0.001,0.998493,127,0.21,1.001,1,0.215
157.9817235,0.001,0.999958,127,0.21,0.998,1,0.213
158.9829421,0.001,1.00154,127,0.21,1.002,1,0.22
159.9825835,0.001,1.0019,127,0.21,1.002,1,0.219
160.9841664,0.001,1.0013,127,0.21,1,1,0.214
161.981498,0.001,1.00056,127,0.21,1.001,1,0.211
162.9832139,0.001,1.002,127,0.21,1.002,2,0.222
163.983763,0.001,1.00356,127,0.21,1.003,2,0.216
164.987431,0.001,1.01003,127,0.21,1.008,2,0.224
165.9841652,0.001,1.01625,127,0.21,1.014,2,0.241
166.9880047,0.001,1.02298,127,0.21,1.021,2,0.223
167.9861648,0.001,1.02655,127,0.21,1.023,2,0.226
168.9864316,0.001,1.03208,127,0.21,1.028,2,0.223
169.9854889,0.001,1.03651,127,0.21,1.033,2,0.229
170.9860804,0.001,1.04153,127,0.21,1.035,2,0.214
171.9866941,0.001,1.04621,127,0.21,1.039,2,0.236
172.9868727,0.001,1.05029,127,0.21,1.042,2,0.239
173.9887102,0.001,1.06036,127,0.21,1.053,2,0.212
174.9846935,0.001,1.06456,127,0.21,1.059,2,0.22
175.9863188,0.001,1.06781,127,0.21,1.065,2,0.223
176.9861455,0.001,1.07242,127,0.21,1.07,2,0.221
177.9890125,0.001,1.07686,127,0.21,1.069,2,0.206
178.9853857,0.001,1.07618,127,0.21,1.071,2,0.222
179.9885581,0.001,1.07997,127,0.21,1.076,2,0.217
181.016536,0.001,1.08549,127,0.21,1.08,2,0.223
181.9860899,0.001,1.08512,127,0.21,1.084,2,0.205
182.9877739,0.001,1.08215,127,0.21,1.083,2,0.193
183.9849291,0.001,1.07475,127,0.21,1.078,2,0.186
184.9820659,0.001,1.06311,127,0.21,1.072,2,0.189
185.9883909,0.001,1.05528,127,0.21,1.06,2,0.184
186.9835472,0.001,1.04661,127,0.21,1.051,2,0.207
187.9850473,0.001,1.04493,127,0.21,1.048,2,0.211
188.9844449,0.001,1.04277,127,0.21,1.046,2,0.205
189.9856095,0.001,1.03795,127,0.21,1.04,2,0.216
190.9836695,0.001,1.03891,127,0.21,1.041,2,0.224
191.9864278,0.001,1.03926,127,0.21,1.041,2,0.206
192.9929941,0.001,1.04108,127,0.21,1.041,2,0.232
194.0409627,0.001,1.04929,127,0.21,1.045,2,0.233
195.0374591,0.001,1.05441,127,0.21,1.048,2,0.216
196.0564203,0.001,1.05809,127,0.21,1.053,2,0.218
197.2424407,0.001,1.06098,127,0.21,1.057,2,0.228
198.0241115,0.001,1.06627,127,0.21,1.063,2,0.221
198.9837661,0.001,1.07167,127,0.21,1.072,2,0.229
200.0278125,0.001,1.07468,127,0.21,1.072,2,0.21
200.9835777,0.001,1.0731,127,0.21,1.073,2,0.198
201.9835129,0.001,1.06985,127,0.21,1.071,2,0.199
202.9859769,0.001,1.06403,127,0.21,1.066,2,0.196
203.9829102,0.001,1.05888,127,0.21,1.059,2,0.186
204.9838927,0.001,1.05214,127,0.21,1.055,2,0.2
205.9882782,0.001,1.04309,127,0.21,1.048,2,0.197
206.9866512,0.001,1.03769,127,0.21,1.042,2,0.193
207.988996,0.001,1.03167,127,0.21,1.036,2,0.195
208.9871914,0.001,1.01804,127,0.21,1.025,2,0.191
209.985008,0.001,1.01169,127,0.21,1.017,2,0.192
210.9884155,0.001,1.00594,127,0.21,1.01,2,0.19
211.9865983,0.001,1.00263,127,0.21,1.005,2,0.208
213.072294,0.001,1.00275,127,0.21,1.004,2,0.222
213.9858952,0.001,1.00467,127,0.21,1.003,2,0.217
214.9859262,0.001,1.00624,127,0.21,1.004,2,0.197
215.988694,0.001,1.00274,127,0.21,1.008,2,0.207
216.9836814,0.001,1.00153,127,0.21,1.003,2,0.205
217.984515,0.001,0.997079,127,0.21,0.998,2,0.191
218.9844151,0.001,0.991905,127,0.21,0.997,2,0.196
219.9838762,0.001,0.98855,127,0.21,0.991,2,0.205
220.9838703,0.001,0.98564,127,0.21,0.989,2,0.217
221.9845133,0.001,0.985283,127,0.21,0.988,2,0.194
222.9863691,0.001,0.983954,127,0.21,0.986,2,0.204
223.9834435,0.001,0.982796,127,0.21,0.984,2,0.213
224.9853384,0.001,0.983517,127,0.21,0.982,2,0.208
